Date,Value
07/1944,34.06
08/1944,34.06
09/1944,34.06
10/1944,34.06
11/1944,34.06
12/1944,34.06
01/1945,35.0
02/1945,35.0
03/1945,35.0
04/1945,35.0
05/1945,35.0
06/1945,35.0
07/1945,35.0
08/1945,35.0
09/1945,35.0
10/1945,35.0
11/1945,35.0
12/1945,35.0
01/1946,35.0
02/1946,35.0
03/1946,35.0
04/1946,35.0
05/1946,35.0
06/1946,35.0
07/1946,35.0
08/1946,35.0
09/1946,35.0
10/1946,35.0
11/1946,35.0
12/1946,35.0
01/1947,35.0
02/1947,35.0
03/1947,35.0
04/1947,35.0
05/1947,35.0
06/1947,35.0
07/1947,35.0
08/1947,35.0
09/1947,35.0
10/1947,35.0
11/1947,35.0
12/1947,35.0
01/1948,35.0
02/1948,35.0
03/1948,35.0
04/1948,35.0
05/1948,35.0
06/1948,35.0
07/1948,35.0
08/1948,35.0
09/1948,35.0
10/1948,35.0
11/1948,35.0
12/1948,35.0
01/1949,31.88
02/1949,31.88
03/1949,31.88
04/1949,31.88
05/1949,31.88
06/1949,31.88
07/1949,31.88
08/1949,31.88
09/1949,31.88
10/1949,31.88
11/1949,31.88
12/1949,31.88
01/1950,35.0
02/1950,35.0
03/1950,35.0
04/1950,35.0
05/1950,35.0
06/1950,35.0
07/1950,35.0
08/1950,35.0
09/1950,35.0
10/1950,35.0
11/1950,35.0
12/1950,35.0
01/1951,35.0
02/1951,35.0
03/1951,35.0
04/1951,35.0
05/1951,35.0
06/1951,35.0
07/1951,35.0
08/1951,35.0
09/1951,35.0
10/1951,35.0
11/1951,35.0
12/1951,35.0
01/1952,34.69
02/1952,34.69
03/1952,34.69
04/1952,34.69
05/1952,34.69
06/1952,34.69
07/1952,34.69
08/1952,34.69
09/1952,34.69
10/1952,34.69
11/1952,34.69
12/1952,34.69
01/1953,35.0
02/1953,35.0
03/1953,35.0
04/1953,35.0
05/1953,35.0
06/1953,35.0
07/1953,35.0
08/1953,35.0
09/1953,35.0
10/1953,35.0
11/1953,35.0
12/1953,35.0
01/1954,35.31
02/1954,35.31
03/1954,35.31
04/1954,35.31
05/1954,35.31
06/1954,35.31
07/1954,35.31
08/1954,35.31
09/1954,35.31
10/1954,35.31
11/1954,35.31
12/1954,35.31
01/1955,35.31
02/1955,35.31
03/1955,35.31
04/1955,35.31
05/1955,35.31
06/1955,35.31
07/1955,35.31
08/1955,35.31
09/1955,35.31
10/1955,35.31
11/1955,35.31
12/1955,35.31
01/1956,35.31
